Subject ID,Slice Index,Haarpsi,VSI,VIF,NQM,LPIPS,Motion_Level,sequence
brain_AXT1PRE_209_6001449,0,47,47,30,28,37,4,t1
brain_AXT1PRE_209_6001449,1,46,47,31,28,38,4,t1
brain_AXT1PRE_209_6001449,2,46,47,31,29,36,4,t1
brain_AXT1PRE_209_6001449,3,46,47,30,25,36,4,t1
brain_AXT1PRE_209_6001449,4,45,47,30,28,37,4,t1
brain_AXT1PRE_209_6001449,5,48,48,34,31,42,4,t1
brain_AXT1PRE_209_6001449,6,47,48,29,30,38,4,t1
brain_AXT1PRE_209_6001449,7,47,48,30,27,40,4,t1
brain_AXT1PRE_209_6001449,8,48,48,29,22,40,4,t1
brain_AXT1PRE_209_6001449,9,48,48,30,29,41,4,t1
brain_AXT1PRE_209_6001364,0,46,47,31,27,35,4,t1
brain_AXT1PRE_209_6001364,1,45,47,31,27,35,4,t1
brain_AXT1PRE_209_6001364,2,48,48,34,30,39,4,t1
brain_AXT1PRE_209_6001364,3,48,48,34,29,39,4,t1
brain_AXT1PRE_209_6001364,4,48,48,36,30,40,4,t1
brain_AXT1PRE_209_6001364,5,48,48,32,29,40,4,t1
brain_AXT1PRE_209_6001364,6,48,48,35,30,42,4,t1
brain_AXT1PRE_209_6001364,7,49,49,34,32,42,4,t1
brain_AXT1PRE_209_6001364,8,49,49,36,29,43,4,t1
brain_AXT1PRE_209_6001364,9,48,48,32,28,42,4,t1
brain_AXT1PRE_209_6001293,0,45,46,28,25,32,4,t1
brain_AXT1PRE_209_6001293,1,47,47,30,27,35,4,t1
brain_AXT1PRE_209_6001293,2,46,47,32,28,36,4,t1
brain_AXT1PRE_209_6001293,3,46,47,31,24,37,4,t1
brain_AXT1PRE_209_6001293,4,47,47,29,28,36,4,t1
brain_AXT1PRE_209_6001293,5,48,48,34,31,41,4,t1
brain_AXT1PRE_209_6001293,6,48,48,32,31,41,4,t1
brain_AXT1PRE_209_6001293,7,48,48,31,30,41,4,t1
brain_AXT1PRE_209_6001293,8,48,48,31,25,42,4,t1
brain_AXT1PRE_209_6001293,9,48,48,31,31,42,4,t1
brain_AXT1PRE_209_6001278,0,47,47,31,30,35,4,t1
brain_AXT1PRE_209_6001278,1,46,46,30,28,36,4,t1
brain_AXT1PRE_209_6001278,2,47,48,33,30,38,4,t1
brain_AXT1PRE_209_6001278,3,48,48,34,32,40,4,t1
brain_AXT1PRE_209_6001278,4,46,48,30,29,37,4,t1
brain_AXT1PRE_209_6001278,5,48,49,35,28,42,4,t1
brain_AXT1PRE_209_6001278,6,48,48,32,32,40,4,t1
brain_AXT1PRE_209_6001278,7,48,48,31,32,40,4,t1
brain_AXT1PRE_209_6001278,8,48,48,31,28,41,4,t1
brain_AXT1PRE_209_6001278,9,47,48,27,30,40,4,t1
brain_AXT1PRE_209_6001274,0,43,46,28,27,35,4,t1
brain_AXT1PRE_209_6001274,1,43,46,27,22,35,4,t1
brain_AXT1PRE_209_6001274,2,46,47,29,27,38,4,t1
brain_AXT1PRE_209_6001274,3,48,48,31,27,40,4,t1
brain_AXT1PRE_209_6001274,4,47,47,29,25,39,4,t1
brain_AXT1PRE_209_6001274,5,48,48,31,26,41,4,t1
brain_AXT1PRE_209_6001274,6,48,48,29,27,41,4,t1
brain_AXT1PRE_209_6001274,7,48,48,29,27,41,4,t1
brain_AXT1PRE_209_6001274,8,48,48,30,29,42,4,t1
brain_AXT1PRE_209_6001274,9,48,47,25,29,40,4,t1
brain_AXT1PRE_209_6001267,0,48,48,36,30,39,4,t1
brain_AXT1PRE_209_6001267,1,47,47,32,28,36,4,t1
brain_AXT1PRE_209_6001267,2,45,46,30,26,35,4,t1
brain_AXT1PRE_209_6001267,3,45,46,29,21,36,4,t1
brain_AXT1PRE_209_6001267,4,46,47,31,23,39,4,t1
brain_AXT1PRE_209_6001267,5,47,48,29,26,38,4,t1
brain_AXT1PRE_209_6001267,6,48,48,36,31,43,4,t1
brain_AXT1PRE_209_6001267,7,48,48,31,28,42,4,t1
brain_AXT1PRE_209_6001267,8,47,48,29,28,41,4,t1
brain_AXT1PRE_209_6001267,9,48,48,27,24,41,4,t1
brain_AXT1PRE_209_6001219,0,47,48,31,23,38,4,t1
brain_AXT1PRE_209_6001219,1,47,48,33,24,38,4,t1
brain_AXT1PRE_209_6001219,2,47,47,32,29,38,4,t1
brain_AXT1PRE_209_6001219,3,46,47,30,27,39,4,t1
brain_AXT1PRE_209_6001219,4,48,48,34,30,42,4,t1
brain_AXT1PRE_209_6001219,5,48,48,31,29,41,4,t1
brain_AXT1PRE_209_6001219,6,48,48,31,30,41,4,t1
brain_AXT1PRE_209_6001219,7,48,48,34,30,44,4,t1
brain_AXT1PRE_209_6001219,8,47,47,29,24,41,4,t1
brain_AXT1PRE_209_6001219,9,47,47,27,28,41,4,t1
brain_AXT1PRE_209_6001156,0,46,46,28,27,33,4,t1
brain_AXT1PRE_209_6001156,1,45,47,29,27,33,4,t1
brain_AXT1PRE_209_6001156,2,46,47,31,29,37,4,t1
brain_AXT1PRE_209_6001156,3,48,48,33,31,40,4,t1
brain_AXT1PRE_209_6001156,4,47,48,31,24,40,4,t1
brain_AXT1PRE_209_6001156,5,46,47,29,24,38,4,t1
brain_AXT1PRE_209_6001156,6,48,48,32,29,41,4,t1
brain_AXT1PRE_209_6001156,7,48,48,30,30,41,4,t1
brain_AXT1PRE_209_6001156,8,48,48,28,25,40,4,t1
brain_AXT1PRE_209_6001156,9,48,48,30,27,41,4,t1
brain_AXT1PRE_209_6001119,0,46,46,29,27,33,4,t1
brain_AXT1PRE_209_6001119,1,44,45,27,21,33,4,t1
brain_AXT1PRE_209_6001119,2,48,48,34,30,38,4,t1
brain_AXT1PRE_209_6001119,3,46,47,30,23,34,4,t1
brain_AXT1PRE_209_6001119,4,47,47,28,25,35,4,t1
brain_AXT1PRE_209_6001119,5,44,46,27,19,36,4,t1
brain_AXT1PRE_209_6001119,6,46,47,29,24,38,4,t1
brain_AXT1PRE_209_6001119,7,48,48,31,27,42,4,t1
brain_AXT1PRE_209_6001119,8,48,48,31,30,41,4,t1
brain_AXT1PRE_209_6001119,9,47,48,28,29,40,4,t1
brain_AXT1PRE_209_6001105,0,48,48,33,30,39,4,t1
brain_AXT1PRE_209_6001105,1,46,47,30,28,35,4,t1
brain_AXT1PRE_209_6001105,2,47,48,34,30,38,4,t1
brain_AXT1PRE_209_6001105,3,48,48,34,29,39,4,t1
brain_AXT1PRE_209_6001105,4,48,48,33,32,40,4,t1
brain_AXT1PRE_209_6001105,5,48,48,34,31,41,4,t1
