Subject ID,Slice Index,BLUR_Z,MLC_Z,MSLC_Z,BLUR_minmax,MLC_minmax,MSLC_minmax
6000877,0,0.34787935,1.526785,0.44801134,0.34787935,1.526785,0.44801134
6000877,1,0.34693328,1.533336,0.4436633,0.34693325,1.5333359,0.4436633
6000877,2,0.36312523,1.5178185,0.4599671,0.3631253,1.5178185,0.4599671
6000877,3,0.37428886,1.5042913,0.47735667,0.3742888,1.5042913,0.47735667
6000877,4,0.3735744,1.4833548,0.46307543,0.37357435,1.4833548,0.4630754
6000877,5,0.38803172,1.4596479,0.45061323,0.38803184,1.4596479,0.45061326
6000877,6,0.3975462,1.4303293,0.41914412,0.39754614,1.4303293,0.41914412
6000877,7,0.39133662,1.3964514,0.40504518,0.3913367,1.3964515,0.40504518
6000877,8,0.39624852,1.3599916,0.3781994,0.39624852,1.3599916,0.37819934
6000877,9,0.40269294,1.3212997,0.3501031,0.40269294,1.3212997,0.3501031
6000877,10,0.39962932,1.267837,0.32181585,0.39962924,1.267837,0.32181588
6000877,11,0.38662258,1.1920276,0.31381953,0.38662264,1.1920273,0.31381953
6000877,12,0.40535975,1.1020554,0.212671,0.4053596,1.1020554,0.21267098
6000877,13,0.4054258,0.9461554,0.07596443,0.40542594,0.9461555,0.07596442
6000877,14,0.40871945,0.8167751,0.003750219,0.4087196,0.8167751,0.0037502188
6000877,15,0.30259198,0.6327369,0.008833708,0.302592,0.63273686,0.0088337045
6000848,0,0.35657337,1.5783322,0.44190663,0.3565735,1.5783322,0.44190663
6000848,1,0.35297915,1.5752742,0.45173693,0.35297912,1.5752742,0.4517369
6000848,2,0.3557817,1.5733829,0.44446033,0.35578173,1.5733829,0.44446033
6000848,3,0.37349558,1.5722027,0.45468903,0.3734956,1.5722027,0.45468903
6000848,4,0.38153318,1.5694149,0.4728352,0.38153306,1.5694149,0.4728352
6000848,5,0.39109212,1.5623615,0.4655774,0.3910921,1.5623616,0.4655774
6000848,6,0.41434497,1.5383474,0.46004713,0.41434497,1.5383474,0.46004713
6000848,7,0.43364054,1.5046558,0.44177318,0.43364057,1.5046558,0.44177318
6000848,8,0.44939083,1.4706297,0.43153203,0.4493908,1.4706297,0.43153206
6000848,9,0.4445093,1.4111333,0.42428502,0.44450936,1.4111334,0.42428502
6000848,10,0.4406235,1.3495972,0.4351592,0.44062352,1.3495972,0.43515924
6000848,11,0.41213715,1.2593771,0.38343424,0.41213724,1.2593772,0.38343427
6000848,12,0.39329726,1.1369882,0.2980582,0.39329723,1.1369883,0.2980582
6000848,13,0.34012708,0.997509,0.19912896,0.34012687,0.997509,0.19912896
6000848,14,0.28213483,0.7972819,0.03647945,0.28213477,0.79728186,0.036479454
6000848,15,0.17052405,0.47712097,0.005343308,0.17052402,0.47712097,0.005343308
2070147,0,0.3319013,1.5794743,0.3793147,0.33190137,1.5794743,0.3793147
2070147,1,0.32905596,1.5661051,0.35370234,0.32905588,1.5661051,0.35370234
2070147,2,0.32901978,1.5478573,0.35812956,0.32901978,1.5478573,0.35812953
2070147,3,0.3316695,1.5384398,0.39047742,0.3316694,1.5384398,0.39047748
2070147,4,0.32821852,1.5184758,0.38338715,0.3282184,1.5184758,0.3833871
2070147,5,0.33739725,1.5091031,0.3896062,0.3373971,1.5091031,0.38960624
2070147,6,0.34969452,1.48066,0.36967534,0.3496945,1.48066,0.36967537
2070147,7,0.37209627,1.4602275,0.3433982,0.37209627,1.4602275,0.3433982
2070147,8,0.38679543,1.4215759,0.32485458,0.3867954,1.4215759,0.32485458
2070147,9,0.4101221,1.3781435,0.2917584,0.4101221,1.3781437,0.2917584
2070147,10,0.4259156,1.3212347,0.28142914,0.4259155,1.3212347,0.28142917
2070147,11,0.44109502,1.2672491,0.1885979,0.4410951,1.2672491,0.1885979
2070147,12,0.42827505,1.187598,0.18795249,0.42827496,1.187598,0.18795249
2070147,13,0.43422177,1.0993066,0.19480653,0.43422186,1.0993066,0.19480653
2070147,14,0.40500662,0.9465461,0.04806458,0.4050066,0.9465461,0.04806458
2070147,15,0.32650173,0.7893475,0.0026362003,0.32650176,0.7893475,0.0026362021
2080257,0,0.37783077,1.5909784,0.31941414,0.37783077,1.5909784,0.31941414
2080257,1,0.37240294,1.5820407,0.318263,0.37240285,1.5820405,0.31826296
2080257,2,0.37848783,1.5663433,0.33182758,0.37848774,1.5663432,0.33182755
2080257,3,0.39137167,1.5493085,0.3496635,0.3913716,1.5493084,0.3496635
2080257,4,0.41307747,1.5336657,0.33992115,0.41307744,1.5336657,0.33992115
2080257,5,0.43265957,1.5122501,0.30546373,0.43265957,1.5122501,0.30546376
2080257,6,0.4448493,1.4796627,0.27608484,0.44484922,1.4796627,0.27608484
2080257,7,0.4583305,1.4453295,0.27205616,0.45833048,1.4453295,0.27205616
2080257,8,0.46043867,1.4168909,0.2659112,0.4604386,1.4168909,0.26591122
2080257,9,0.47274405,1.3746226,0.2801029,0.4727439,1.3746226,0.2801029
2080257,10,0.49654257,1.3098242,0.27261162,0.49654254,1.3098242,0.27261162
2080257,11,0.50306857,1.2597055,0.2509314,0.50306857,1.2597055,0.2509314
2080257,12,0.49514458,1.1804242,0.21502283,0.49514464,1.1804242,0.21502283
2080257,13,0.46846536,1.0993853,0.16012411,0.46846536,1.0993853,0.1601241
2080257,14,0.44835585,0.9450989,0.026355278,0.44835594,0.9450989,0.02635528
2080257,15,0.34931916,0.79585475,0.00392277,0.3493192,0.79585475,0.00392277
2080227,0,0.3597805,1.6574908,0.2966158,0.35978046,1.6574908,0.29661584
2080227,1,0.35378128,1.668293,0.30681425,0.35378125,1.668293,0.30681422
2080227,2,0.359418,1.6447504,0.27592182,0.35941797,1.6447504,0.27592182
2080227,3,0.3643705,1.64499,0.31195617,0.36437047,1.64499,0.31195614
2080227,4,0.37530378,1.6054436,0.2816565,0.37530392,1.6054437,0.2816565
2080227,5,0.37667856,1.5862852,0.34225574,0.37667865,1.5862851,0.34225577
2080227,6,0.3711552,1.5747062,0.32980382,0.37115508,1.5747062,0.32980385
2080227,7,0.37741143,1.5527711,0.3644839,0.37741148,1.5527713,0.3644839
2080227,8,0.3884726,1.5330448,0.3957244,0.38847262,1.5330448,0.3957244
2080227,9,0.3967212,1.5371323,0.41233337,0.39672124,1.5371323,0.41233337
2080227,10,0.413651,1.4835854,0.421928,0.41365114,1.4835854,0.421928
2080227,11,0.41704726,1.4576019,0.38166595,0.41704732,1.4576019,0.38166595
2080227,12,0.4367229,1.3791907,0.36825198,0.43672293,1.3791907,0.36825198
2080227,13,0.44310614,1.2731655,0.27281344,0.4431061,1.2731655,0.27281344
2080227,14,0.4600266,1.104337,0.1830699,0.46002674,1.1043372,0.1830699
2080227,15,0.4472707,0.93098605,0.0805199,0.44727072,0.9309859,0.0805199
6000657,0,0.3162366,1.3796613,0.39055178,0.31623673,1.3796612,0.39055178
6000657,1,0.3124358,1.3748741,0.37432492,0.31243578,1.3748741,0.37432492
6000657,2,0.30861172,1.3651657,0.36821768,0.30861178,1.3651658,0.36821774
6000657,3,0.30287042,1.3487089,0.36995584,0.30287057,1.3487089,0.36995584
6000657,4,0.31007192,1.3404251,0.35162222,0.31007183,1.3404253,0.35162222
6000657,5,0.328995,1.3257842,0.3221163,0.32899493,1.3257842,0.3221163
6000657,6,0.35004342,1.3030062,0.31118155,0.3500432,1.3030059,0.31118155
6000657,7,0.36285546,1.2800261,0.28888386,0.36285537,1.2800261,0.28888386
6000657,8,0.3768205,1.2408264,0.2572088,0.37682053,1.2408264,0.2572088
6000657,9,0.37542394,1.1935148,0.23879339,0.37542394,1.1935148,0.23879339
6000657,10,0.3802475,1.1259491,0.21020868,0.3802474,1.1259491,0.21020868
6000657,11,0.3659867,1.0424716,0.11561988,0.36598676,1.0424716,0.11561988
6000657,12,0.35983384,0.94578457,0.09045758,0.3598339,0.94578445,0.09045757
6000657,13,0.30141106,0.81955755,0.02320379,0.30141088,0.81955755,0.02320379
6000657,14,0.22436267,0.6485258,0.008075044,0.22436266,0.6485258,0.008075044
6000657,15,0.16498949,0.3940564,0.009391531,0.1649895,0.3940564,0.009391533
2050259,0,0.35680532,1.5938177,0.0991541,0.35680532,1.5938177,0.099154085
2050259,1,0.35611844,1.5933568,0.11238848,0.35611853,1.5933568,0.11238849
2050259,2,0.362837,1.5702457,0.13265023,0.36283693,1.5702457,0.13265021
2050259,3,0.36380804,1.568691,0.17412439,0.3638079,1.568691,0.17412436
2050259,4,0.37198016,1.5530794,0.20119023,0.37198007,1.5530792,0.20119023
2050259,5,0.3781948,1.5370872,0.27971852,0.37819493,1.5370872,0.27971852
2050259,6,0.38076872,1.5058907,0.29959142,0.38076872,1.5058907,0.29959142
2050259,7,0.4020378,1.4976273,0.31251076,0.40203774,1.4976273,0.3125107
2050259,8,0.4214951,1.4471837,0.3321113,0.421495,1.4471837,0.3321113
2050259,9,0.43445146,1.4217381,0.35217988,0.4344515,1.4217381,0.35217988
2050259,10,0.44602904,1.3314029,0.33098194,0.44602907,1.331403,0.33098194
2050259,11,0.46021196,1.2677456,0.32493877,0.46021187,1.2677456,0.32493877
2050259,12,0.45822498,1.1421918,0.23933035,0.4582249,1.1421919,0.23933035
2050259,13,0.4679782,1.0624907,0.22224182,0.46797818,1.0624907,0.22224182
2050026,0,0.32104617,1.5567138,0.21973729,0.32104614,1.5567138,0.21973729
2050026,1,0.30220646,1.5468432,0.2296316,0.30220646,1.5468432,0.22963163
2050026,2,0.2961336,1.524374,0.23428361,0.2961336,1.524374,0.23428361
2050026,3,0.29529908,1.5119914,0.24972653,0.29529887,1.5119914,0.24972656
2050026,4,0.30833298,1.5033635,0.2652147,0.30833298,1.5033635,0.26521474
2050026,5,0.33492053,1.4942043,0.2597499,0.33492053,1.4942043,0.2597499
2050026,6,0.3683958,1.474481,0.24532378,0.36839572,1.4744809,0.24532378
2050026,7,0.38968915,1.4565973,0.25674617,0.38968924,1.4565972,0.25674617
2050026,8,0.41420195,1.4312233,0.27212256,0.41420197,1.4312233,0.27212256
2050026,9,0.42279458,1.3972708,0.2687897,0.42279458,1.3972708,0.2687897
2050026,10,0.44430292,1.3605862,0.25074452,0.4443029,1.3605862,0.25074452
