Subject ID,Slice Index,BLUR_Z,MLC_Z,MSLC_Z,BLUR_minmax,MLC_minmax,MSLC_minmax
6002442,0,0.3301637,1.5819018,0.55691886,0.33016363,1.5819018,0.55691886
6002442,1,0.32976887,1.5209357,0.55408674,0.3297688,1.5209355,0.55408674
6002442,2,0.3285828,1.5021114,0.5321572,0.32858282,1.5021114,0.5321572
6002442,3,0.32213184,1.4855912,0.52522624,0.3221318,1.4855912,0.5252261
6002442,4,0.32621193,1.4801694,0.5435034,0.3262119,1.4801695,0.54350346
6002442,5,0.32875565,1.4607856,0.5072161,0.3287556,1.4607856,0.5072161
6002442,6,0.32950184,1.4465873,0.5382501,0.32950175,1.4465873,0.5382501
6002442,7,0.33392006,1.416887,0.5039275,0.33392003,1.416887,0.5039275
6002442,8,0.32883632,1.3879449,0.52467597,0.32883623,1.387945,0.52467597
6002442,9,0.31925324,1.3286152,0.47219574,0.31925336,1.3286152,0.4721957
6002442,10,0.31311885,1.280935,0.44911605,0.31311893,1.280935,0.44911605
6002442,11,0.3015402,1.2018099,0.29002112,0.30154002,1.2018099,0.29002112
6002442,12,0.28963023,1.1243682,0.21033138,0.2896302,1.1243682,0.21033138
6002442,13,0.2894523,1.0010935,0.06918654,0.28945234,1.0010936,0.06918654
6002442,14,0.22032137,0.84416074,0.022169346,0.22032152,0.84416074,0.022169346
6002442,15,0.16879287,0.6295467,0.010114871,0.16879289,0.62954676,0.010114871
6002510,0,0.3185548,1.638394,0.6081278,0.31855467,1.6383941,0.6081277
6002510,1,0.3227389,1.6362078,0.56346524,0.3227389,1.6362078,0.56346524
6002510,2,0.3204861,1.615144,0.5266955,0.32048622,1.6151439,0.5266955
6002510,3,0.3238542,1.5880511,0.5946414,0.32385424,1.5880511,0.5946413
6002510,4,0.32356894,1.5626919,0.6033105,0.32356906,1.5626918,0.6033105
6002510,5,0.33512285,1.5331533,0.584372,0.33512288,1.5331533,0.584372
6002510,6,0.3398819,1.5003121,0.5464728,0.3398818,1.5003121,0.5464728
6002510,7,0.34016255,1.4618245,0.5145729,0.34016263,1.4618245,0.5145729
6002510,8,0.33248442,1.4074888,0.46962753,0.3324845,1.4074888,0.4696275
6002510,9,0.3261218,1.35373,0.41696543,0.3261218,1.35373,0.41696543
6002510,10,0.34219602,1.2941934,0.39058375,0.34219602,1.2941933,0.39058375
6002510,11,0.3306129,1.2015908,0.21296212,0.330613,1.2015908,0.21296209
6002510,12,0.25511783,1.083286,0.21965352,0.25511786,1.083286,0.21965352
6002510,13,0.23421174,0.9483613,0.12181917,0.23421179,0.9483613,0.12181917
6002510,14,0.19100414,0.74561036,0.015091322,0.19100411,0.74561036,0.015091322
6002510,15,0.13776551,0.2596401,0.0046749357,0.1377655,0.2596401,0.004674935
6002435,0,0.3348335,1.5864007,0.5863424,0.33483353,1.5864006,0.58634245
6002435,1,0.32859415,1.5794935,0.59970266,0.32859427,1.5794935,0.59970266
6002435,2,0.3298045,1.5639546,0.5756657,0.32980442,1.5639546,0.5756657
6002435,3,0.3414005,1.5552306,0.596826,0.34140056,1.5552306,0.59682596
6002435,4,0.33991826,1.5445068,0.58623624,0.3399183,1.5445068,0.58623624
6002435,5,0.33371744,1.5290351,0.62343717,0.33371747,1.5290351,0.6234372
6002435,6,0.33276722,1.5007057,0.5740067,0.33276716,1.5007057,0.5740067
6002435,7,0.33718672,1.4730029,0.5311368,0.33718666,1.4730029,0.5311368
6002435,8,0.33364764,1.426934,0.4827628,0.33364764,1.426934,0.4827628
6002435,9,0.33215553,1.3810594,0.44520652,0.33215547,1.3810594,0.44520652
6002435,10,0.3332774,1.3092754,0.33230662,0.3332773,1.3092755,0.33230662
6002435,11,0.33917704,1.2452993,0.26982147,0.33917707,1.2452993,0.26982147
6002435,12,0.30109787,1.1368313,0.16770512,0.30109787,1.1368313,0.16770512
6002435,13,0.264841,1.036222,0.10392023,0.2648411,1.036222,0.103920236
6002435,14,0.22013323,0.90004444,0.013230327,0.22013316,0.90004444,0.0132303275
6002435,15,0.18518236,0.70054686,-0.0031975715,0.18518226,0.70054686,-0.003197569
6002496,0,0.32540888,1.680814,0.57509285,0.325409,1.680814,0.57509285
6002496,1,0.3275834,1.6814449,0.59581697,0.32758346,1.6814449,0.59581697
6002496,2,0.31369525,1.6641252,0.5987286,0.3136953,1.6641252,0.5987286
6002496,3,0.320053,1.6537557,0.60410464,0.32005313,1.6537557,0.60410464
6002496,4,0.32994235,1.6338418,0.62018096,0.32994255,1.6338418,0.62018096
6002496,5,0.3316564,1.6206093,0.6493126,0.33165637,1.6206093,0.6493127
6002496,6,0.33095455,1.5980136,0.6475485,0.33095458,1.5980136,0.6475485
6002496,7,0.32560587,1.5714245,0.652007,0.32560596,1.5714245,0.652007
6002496,8,0.32127768,1.5314765,0.6218506,0.32127768,1.5314767,0.6218506
6002496,9,0.3195181,1.4893574,0.5671726,0.3195181,1.4893575,0.5671726
6002496,10,0.31085008,1.4311997,0.5231924,0.31085023,1.4311997,0.5231924
6002496,11,0.3074712,1.3749028,0.41990012,0.30747145,1.3749027,0.41990018
6002496,12,0.31535095,1.2839389,0.38726553,0.31535095,1.2839389,0.38726553
6002496,13,0.30208263,1.1841185,0.2159839,0.30208266,1.1841185,0.2159839
6002496,14,0.27630585,1.0576015,0.14930028,0.27630594,1.0576015,0.14930026
6002496,15,0.239419,0.9044274,0.06373906,0.23941906,0.9044274,0.06373906
6002456,0,0.35911658,1.676542,0.60359925,0.35911646,1.676542,0.6035992
6002456,1,0.34096774,1.6700778,0.58918154,0.34096777,1.6700778,0.58918154
6002456,2,0.33417472,1.6677029,0.5895037,0.33417472,1.6677029,0.58950377
6002456,3,0.33781427,1.6523108,0.6263126,0.3378143,1.6523108,0.6263126
6002456,4,0.33291543,1.619947,0.6825028,0.33291546,1.619947,0.68250275
6002456,5,0.32748356,1.5911889,0.66271466,0.3274836,1.5911889,0.66271466
6002456,6,0.32966384,1.5596522,0.6368917,0.3296639,1.5596522,0.63689166
6002456,7,0.33355734,1.5286131,0.5776228,0.3335572,1.5286131,0.5776228
6002456,8,0.3293959,1.4792979,0.567152,0.32939604,1.4792979,0.567152
6002456,9,0.31745115,1.4162288,0.46020824,0.31745112,1.4162288,0.46020824
6002456,10,0.31492588,1.3485374,0.4418454,0.31492594,1.3485374,0.44184542
6002456,11,0.30738154,1.2603276,0.37325254,0.3073816,1.2603276,0.3732525
6002456,12,0.29971713,1.1549246,0.23805237,0.29971695,1.1549246,0.23805234
6002456,13,0.24988495,1.0334973,0.1607974,0.24988489,1.0334973,0.1607974
6002456,14,0.19982648,0.8766468,0.07001147,0.19982663,0.87664676,0.07001146
6002456,15,0.16508159,0.6045226,0.009923857,0.16508166,0.6045226,0.009923855
6002469,0,0.36337736,1.709441,0.5114693,0.36337736,1.709441,0.5114693
6002469,1,0.34893483,1.7110709,0.4653446,0.34893495,1.711071,0.4653446
6002469,2,0.344963,1.7067332,0.43654186,0.344963,1.7067332,0.43654186
6002469,3,0.35674965,1.6924889,0.4838096,0.35674968,1.6924891,0.48380953
6002469,4,0.35943276,1.6694474,0.55264324,0.3594327,1.6694474,0.55264324
6002469,5,0.36885884,1.6397345,0.6195673,0.36885896,1.6397345,0.6195673
6002469,6,0.3554942,1.6146042,0.64202845,0.3554942,1.6146042,0.64202857
6002469,7,0.34893596,1.5708258,0.6098591,0.3489359,1.5708257,0.6098591
6002469,8,0.33316922,1.5325279,0.5847792,0.33316928,1.532528,0.58477914
6002469,9,0.35212806,1.476867,0.4596748,0.35212812,1.476867,0.45967487
6002469,10,0.3620435,1.4286554,0.39043778,0.36204338,1.4286554,0.39043775
6002469,11,0.3435348,1.3493261,0.43312407,0.3435349,1.3493261,0.43312407
6002469,12,0.3121656,1.2599928,0.28828856,0.31216568,1.2599928,0.28828853
6002469,13,0.26525933,1.1368673,0.2607758,0.2652592,1.1368673,0.26077583
