Subject ID,Slice Index,BLUR_Z,MLC_Z,MSLC_Z,BLUR_minmax,MLC_minmax,MSLC_minmax
6000875,0,0.33375916,1.8229411,0.51154935,0.33375925,1.8229413,0.51154935
6000875,1,0.3290724,1.8377366,0.6235292,0.32907236,1.8377366,0.62352914
6000875,2,0.32662016,1.7990875,0.5162632,0.32662013,1.7990875,0.5162632
6000875,3,0.31668967,1.8016162,0.39041483,0.31668964,1.8016162,0.39041483
6000875,4,0.32130906,1.8081758,0.29379827,0.32130912,1.8081758,0.29379824
6000875,5,0.3635484,1.7818834,0.4742871,0.36354828,1.7818834,0.4742871
6000875,6,0.32819635,1.7868208,0.65410244,0.32819614,1.7868208,0.65410244
6000875,7,0.3155081,1.7475284,0.8692826,0.31550807,1.7475284,0.8692826
6000875,8,0.33703727,1.745837,0.9922621,0.33703715,1.7458371,0.9922621
6000875,9,0.34311223,1.6878693,1.0557455,0.34311217,1.6878693,1.0557455
6000875,10,0.3153194,1.6340919,1.0053377,0.3153194,1.6340919,1.0053376
6000875,11,0.32621783,1.5467209,0.7889214,0.32621774,1.5467209,0.7889215
6000875,12,0.35729071,1.5312481,0.8835846,0.35729066,1.5312481,0.8835846
6000875,13,0.34243828,1.4034808,0.81108254,0.3424383,1.4034805,0.8110826
6000875,14,0.32154313,1.3160079,0.68825054,0.32154325,1.3160076,0.6882505
6000875,15,0.33342582,1.1724389,0.4092071,0.3334258,1.1724389,0.4092071
6000254,0,0.292725,1.6081452,0.713854,0.29272497,1.6081452,0.7138541
6000254,1,0.30174792,1.665425,0.6358152,0.30174798,1.6654251,0.6358152
6000254,2,0.32112762,1.683266,0.62547874,0.3211276,1.683266,0.6254788
6000254,3,0.3190959,1.6449908,0.671441,0.31909594,1.6449908,0.671441
6000254,4,0.30834106,1.638968,0.7499912,0.30834106,1.6389679,0.7499912
6000254,5,0.2952314,1.5992296,0.7948042,0.2952315,1.5992296,0.7948042
6000254,6,0.30327758,1.5466425,0.734715,0.3032777,1.5466425,0.734715
6000254,7,0.29781523,1.5502551,0.8007096,0.29781517,1.550255,0.8007096
6000254,8,0.301802,1.5231279,0.8199776,0.30180207,1.5231279,0.8199776
6000254,9,0.31153035,1.4768099,0.617671,0.3115305,1.4768097,0.617671
6000254,10,0.33429277,1.435103,0.62556255,0.33429286,1.435103,0.62556255
6000254,11,0.36525786,1.3890083,0.5308273,0.36525786,1.3890083,0.53082734
6000254,12,0.3542891,1.3099878,0.4040856,0.35428908,1.3099879,0.4040856
6000254,13,0.34878665,1.2639195,0.30147973,0.34878665,1.2639196,0.30147973
6000254,14,0.2871417,0.9741061,0.3512724,0.28714174,0.9741061,0.3512724
6000254,15,0.20358357,0.7954574,0.40232688,0.20358348,0.7954574,0.40232688
6000464,0,0.3481445,1.804486,0.5274673,0.34814465,1.804486,0.5274673
6000464,1,0.32897902,1.8307557,0.5998023,0.32897896,1.8307557,0.5998023
6000464,2,0.34646246,1.7887251,0.5278414,0.34646255,1.7887253,0.5278414
6000464,3,0.35091034,1.7943306,0.6378493,0.35091016,1.7943306,0.6378493
6000464,4,0.35487378,1.785991,0.75434524,0.3548737,1.785991,0.7543453
6000464,5,0.3518651,1.7437557,0.7647969,0.35186505,1.7437557,0.7647969
6000464,6,0.39007714,1.7065202,0.7472623,0.39007708,1.7065201,0.74726236
6000464,7,0.36046526,1.6730938,0.7322253,0.3604653,1.6730939,0.73222536
6000464,8,0.3652893,1.5883849,0.6237043,0.36528942,1.5883849,0.6237043
6000464,9,0.3754093,1.5241129,0.5677363,0.37540928,1.5241129,0.5677363
6000464,10,0.3678771,1.4382969,0.4728085,0.36787716,1.4382969,0.47280848
6000464,11,0.35332456,1.3522991,0.4276451,0.35332444,1.352299,0.4276451
6000464,12,0.3207187,1.2562845,0.35067317,0.32071865,1.2562845,0.35067314
6000464,13,0.27652752,1.1080893,0.4046747,0.27652755,1.1080893,0.4046747
6002541,0,0.38428402,1.6596197,0.6948286,0.38428408,1.6596197,0.6948286
6002541,1,0.37693378,1.6666826,0.667909,0.37693378,1.6666826,0.6679089
6002541,2,0.36524355,1.6637291,0.5097917,0.3652435,1.663729,0.50979173
6002541,3,0.3891796,1.6628991,0.5850258,0.38917956,1.6628993,0.5850257
6002541,4,0.3516839,1.6055515,0.56134796,0.35168403,1.6055515,0.56134796
6002541,5,0.34145233,1.594272,0.58475995,0.3414523,1.594272,0.58475995
6002541,6,0.36801496,1.5824943,0.607308,0.36801487,1.5824943,0.607308
6002541,7,0.35110408,1.5558201,0.5440832,0.3511041,1.5558202,0.5440832
6002541,8,0.36095065,1.5370009,0.5585897,0.36095062,1.5370007,0.5585897
6002541,9,0.36411655,1.546426,0.57936025,0.36411658,1.546426,0.57936025
6002541,10,0.3631726,1.439359,0.59964377,0.36317253,1.439359,0.59964377
6002541,11,0.38271037,1.3676546,0.2614259,0.3827104,1.3676546,0.2614259
6002541,12,0.35832828,1.3004285,0.39961183,0.35832816,1.3004284,0.39961183
6002541,13,0.29749313,1.3441887,0.39335498,0.29749325,1.3441887,0.39335498
6002541,14,0.27684563,1.2010002,0.27293947,0.27684566,1.2010002,0.27293947
6002541,15,0.22662787,1.0596845,0.23301102,0.22662795,1.0596845,0.23301102
6002923,0,0.34460917,1.7440674,0.6891779,0.34460914,1.7440674,0.6891779
6002923,1,0.35763958,1.7383621,0.69493437,0.35763958,1.7383621,0.69493437
6002923,2,0.3647774,1.7072597,0.67329913,0.36477742,1.7072597,0.67329913
6002923,3,0.37042505,1.7221663,0.7184145,0.37042502,1.7221663,0.7184145
6002923,4,0.36040288,1.6802087,0.7282945,0.36040294,1.6802087,0.7282945
6002923,5,0.3567987,1.6485999,0.7111322,0.35679874,1.6485999,0.7111322
6002923,6,0.37367466,1.6677191,0.7537133,0.37367466,1.6677192,0.75371325
6002923,7,0.35803616,1.5488315,0.6772163,0.35803616,1.5488315,0.6772163
6002923,8,0.35745835,1.5628264,0.70880836,0.35745838,1.5628264,0.7088083
6002923,9,0.35641584,1.4996641,0.6264163,0.3564159,1.4996641,0.6264163
6002923,10,0.36505803,1.4785924,0.82405984,0.36505786,1.4785924,0.82405984
6002923,11,0.38028485,1.4010816,0.6301162,0.38028467,1.4010817,0.6301163
6002923,12,0.3591827,1.3480883,0.6041318,0.3591827,1.3480884,0.60413176
6002923,13,0.37699446,1.1610031,0.4910441,0.37699452,1.1610031,0.4910441
6002923,14,0.34066454,1.1353959,0.5388577,0.34066457,1.1353959,0.5388577
6002923,15,0.27838838,0.7902792,0.2790855,0.2783884,0.7902792,0.2790855
6001896,0,0.30641606,1.6060495,0.7541752,0.3064161,1.6060495,0.7541752
6001896,1,0.30262083,1.631963,0.6891512,0.30262092,1.631963,0.6891512
6001896,2,0.32444283,1.60729,0.58915114,0.32444283,1.60729,0.58915114
6001896,3,0.3237149,1.5939643,0.57146657,0.32371488,1.5939643,0.57146657
