Subject ID,Slice Index,BLUR_Z,MLC_Z,MSLC_Z,BLUR_minmax,MLC_minmax,MSLC_minmax
2070308,0,0.32379583,1.5576429,0.39275277,0.32379586,1.5576429,0.3927528
2070308,1,0.33069104,1.5488689,0.43614772,0.33069098,1.5488689,0.43614772
2070308,2,0.34599164,1.5373085,0.4024003,0.34599158,1.5373085,0.4024003
2070308,3,0.347401,1.5311579,0.38996372,0.347401,1.5311577,0.38996372
2070308,4,0.35463563,1.5142055,0.3379631,0.35463563,1.5142055,0.3379631
2070308,5,0.36371225,1.4962074,0.37743467,0.3637123,1.4962074,0.37743464
2070308,6,0.36778554,1.4757802,0.43446922,0.3677854,1.4757805,0.43446922
2070308,7,0.38078913,1.4362532,0.41795808,0.38078913,1.4362532,0.41795808
2070308,8,0.3843255,1.3946328,0.42281124,0.3843255,1.394633,0.42281115
2070308,9,0.38018298,1.3479095,0.43276292,0.38018298,1.3479095,0.43276292
2070308,10,0.40405262,1.297646,0.38765907,0.40405264,1.297646,0.38765907
2070308,11,0.40622288,1.2328545,0.38719934,0.40622285,1.2328544,0.38719934
2070308,12,0.41224864,1.1520066,0.26493827,0.41224855,1.1520066,0.26493824
2070308,13,0.38059527,1.0399526,0.17708403,0.38059527,1.0399526,0.17708403
2070308,14,0.30684087,0.89676225,0.11001072,0.30684093,0.89676213,0.11001072
2070308,15,0.25151315,0.72535217,0.009429229,0.25151303,0.72535217,0.0094292285
2070559,0,0.29233482,1.4239702,0.4114324,0.2923347,1.4239702,0.4114324
2070559,1,0.29563603,1.4272385,0.44102797,0.295636,1.4272386,0.44102794
2070559,2,0.29787758,1.414006,0.37127513,0.29787755,1.414006,0.3712751
2070559,3,0.30016363,1.4295819,0.40898162,0.30016366,1.4295819,0.40898162
2070559,4,0.31268904,1.4173926,0.39207456,0.31268898,1.4173926,0.39207456
2070559,5,0.31670806,1.4118485,0.42767912,0.31670803,1.4118485,0.42767906
2070559,6,0.33438766,1.3793086,0.4025234,0.33438766,1.3793085,0.4025234
2070559,7,0.34097314,1.3510016,0.38707784,0.3409731,1.3510016,0.38707787
2070559,8,0.33512586,1.2946775,0.35790747,0.3351257,1.2946775,0.35790744
2070559,9,0.3362488,1.256824,0.3216676,0.33624876,1.256824,0.3216676
2070559,10,0.3356178,1.1744561,0.26162726,0.33561778,1.1744561,0.26162726
2070559,11,0.36254045,1.122232,0.2365775,0.36254036,1.1222321,0.2365775
2070559,12,0.36251011,1.0227532,0.11213111,0.36251017,1.0227532,0.112131104
2070559,13,0.32382995,0.90789515,0.10060368,0.32383004,0.9078951,0.10060368
2070559,14,0.2422386,0.7481954,0.006050206,0.24223849,0.7481954,0.0060502035
2070559,15,0.17792584,0.5207083,0.0034642918,0.17792581,0.5207084,0.00346429
2030082,0,0.34498218,1.4658805,0.50050706,0.34498212,1.4658805,0.50050706
2030082,1,0.35703626,1.4404887,0.4862628,0.35703614,1.4404886,0.48626274
2030082,2,0.37295198,1.4346325,0.5014116,0.37295198,1.4346325,0.50141156
2030082,3,0.37427992,1.4311204,0.5081793,0.3742799,1.4311204,0.5081793
2030082,4,0.3754079,1.4243048,0.5177832,0.3754078,1.4243047,0.5177832
2030082,5,0.36424437,1.3880138,0.47468352,0.3642445,1.3880138,0.47468352
2030082,6,0.3615696,1.3485525,0.44926178,0.36156955,1.3485525,0.44926178
2030082,7,0.36389717,1.3146805,0.45221776,0.36389732,1.3146805,0.45221776
2030082,8,0.371711,1.2813603,0.45319217,0.37171096,1.2813603,0.45319217
2030082,9,0.35382757,1.220933,0.3851044,0.3538276,1.220933,0.3851044
2030082,10,0.33972207,1.1524243,0.3690274,0.3397221,1.1524243,0.3690274
2030082,11,0.32910472,1.0756333,0.25685322,0.32910484,1.0756333,0.25685322
2030082,12,0.3254322,0.97525245,0.19042638,0.32543233,0.97525245,0.19042638
2030082,13,0.29308125,0.8580577,0.086348295,0.2930812,0.8580577,0.08634829
2030082,14,0.23191276,0.71763253,0.030992957,0.23191264,0.71763253,0.030992959
2030082,15,0.167552,0.50543875,0.017137647,0.16755185,0.50543875,0.017137641
2070847,0,0.2928185,1.4341884,0.40210748,0.29281837,1.4341884,0.40210748
2070847,1,0.31824365,1.4191777,0.4215148,0.3182436,1.4191777,0.4215148
2070847,2,0.320594,1.4134867,0.40901497,0.32059416,1.4134867,0.40901497
2070847,3,0.31903708,1.4221301,0.47457132,0.31903702,1.4221301,0.47457132
2070847,4,0.32577,1.3992617,0.4374705,0.32577002,1.3992617,0.4374705
2070847,5,0.34454492,1.4019516,0.4023887,0.34454495,1.4019514,0.4023887
2070847,6,0.35537353,1.3805037,0.35631007,0.35537353,1.3805037,0.35631007
2070847,7,0.34021452,1.3543129,0.38814592,0.3402145,1.3543129,0.38814592
2070847,8,0.33774018,1.3111129,0.36127913,0.3377404,1.3111129,0.36127913
2070847,9,0.32213625,1.2784448,0.37246922,0.32213616,1.2784448,0.37246925
2070847,10,0.30865675,1.2008183,0.3121957,0.3086568,1.2008183,0.31219572
2070847,11,0.31510317,1.1538529,0.2711239,0.31510326,1.1538529,0.2711239
2070847,12,0.32720608,1.0548089,0.17327228,0.32720616,1.0548089,0.17327228
2070847,13,0.31722495,0.951149,0.09565513,0.3172249,0.951149,0.09565513
2070847,14,0.28167817,0.81390333,0.032265004,0.28167814,0.8139034,0.032265007
2070847,15,0.1827679,0.6192113,0.001298049,0.1827679,0.6192113,0.0012980499
2050035,0,0.32743147,1.4668783,0.20945582,0.32743147,1.4668783,0.2094558
2050035,1,0.34252277,1.4812015,0.1847597,0.34252292,1.4812015,0.18475969
2050035,2,0.34076428,1.4847281,0.2060264,0.34076425,1.4847281,0.2060264
2050035,3,0.3396991,1.4812843,0.23317811,0.33969912,1.4812843,0.2331781
2050035,4,0.36351952,1.4778731,0.20528072,0.36351943,1.4778731,0.20528072
2050035,5,0.37226647,1.4673082,0.1724422,0.37226632,1.4673082,0.1724422
2050035,6,0.37453157,1.4485664,0.19614702,0.3745316,1.4485664,0.19614705
2050035,7,0.38139296,1.4334064,0.22211424,0.38139305,1.4334064,0.22211424
2050035,8,0.39617863,1.3978581,0.27212346,0.39617848,1.3978581,0.27212346
2050035,9,0.40049636,1.3582664,0.2760529,0.4004964,1.3582664,0.2760529
2050035,10,0.4063637,1.3093832,0.28353423,0.40636376,1.3093832,0.28353423
2050035,11,0.40659642,1.2487009,0.2849176,0.40659636,1.2487009,0.2849176
2050035,12,0.40132254,1.1745443,0.24985828,0.40132257,1.1745443,0.24985828
2050035,13,0.39709857,1.0825899,0.13083269,0.3970986,1.0825899,0.13083269
2050035,14,0.3968729,0.9805963,0.1332151,0.39687297,0.9805963,0.1332151
2050035,15,0.36890417,0.8518233,0.039271716,0.36890405,0.8518233,0.039271716
2070390,0,0.3479351,1.4382975,0.37275678,0.34793508,1.4382975,0.3727568
2070390,1,0.34476042,1.4239507,0.36643815,0.34476033,1.4239507,0.36643815
2070390,2,0.3391362,1.4121478,0.3229934,0.3391361,1.4121478,0.3229934
2070390,3,0.33993736,1.4114621,0.28411043,0.33993736,1.4114621,0.28411043
2070390,4,0.33678374,1.3956699,0.27546135,0.33678386,1.3956699,0.27546135
2070390,5,0.34823713,1.3782666,0.30113232,0.34823716,1.3782666,0.30113232
2070390,6,0.36482984,1.3560694,0.33534816,0.36482996,1.3560694,0.3353482
2070390,7,0.3629137,1.3189945,0.37320852,0.36291367,1.3189945,0.37320855
2070390,8,0.3612139,1.258815,0.33372208,0.36121398,1.258815,0.33372208
2070390,9,0.3526786,1.2099036,0.29527834,0.35267863,1.2099037,0.29527834
2070390,10,0.37798885,1.1459067,0.24724624,0.3779887,1.1459067,0.24724624
2070390,11,0.39292234,1.0822948,0.13250399,0.39292225,1.0822948,0.132504
2070390,12,0.374594,0.9742401,0.060891487,0.3745939,0.9742401,0.060891494
2070390,13,0.31788927,0.8460851,0.016356438,0.31788936,0.8460851,0.016356442
2070390,14,0.22071905,0.64348644,-0.00013643676,0.22071913,0.6434864,-0.00013643703
2070390,15,0.14764223,0.353283,0.0063516586,0.1476422,0.353283,0.006351659
2020161,0,0.3072108,1.5326878,0.30159056,0.30721077,1.5326878,0.30159056
2020161,1,0.3146349,1.5350261,0.333152,0.31463483,1.5350261,0.333152
2020161,2,0.3200455,1.5292792,0.3361596,0.32004556,1.5292792,0.3361596
2020161,3,0.321465,1.5275109,0.3173259,0.32146505,1.5275109,0.31732592
2020161,4,0.32356608,1.5093548,0.2948302,0.32356602,1.5093548,0.2948302
2020161,5,0.32919866,1.4925568,0.33487952,0.32919875,1.4925568,0.33487952
2020161,6,0.3389734,1.4822394,0.36212993,0.3389733,1.4822395,0.36212993
2020161,7,0.3441096,1.4589834,0.41669768,0.34410965,1.4589834,0.4166977
2020161,8,0.34970182,1.4326239,0.45017326,0.34970194,1.4326239,0.45017326
2020161,9,0.35802445,1.3934186,0.44588643,0.35802463,1.3934186,0.44588643
2020161,10,0.35618764,1.3344924,0.43445766,0.35618764,1.3344924,0.43445766
2020161,11,0.3490556,1.2663126,0.39663675,0.3490557,1.2663126,0.39663675
2020161,12,0.3404777,1.166364,0.28060102,0.34047782,1.166364,0.28060102
2020161,13,0.31387544,1.0502795,0.13576916,0.31387538,1.0502795,0.13576916
2020161,14,0.25066724,0.89575803,0.07642932,0.2506672,0.89575803,0.07642933
2020161,15,0.19841935,0.7192246,0.007565706,0.19841929,0.7192245,0.0075657074
2010128,0,0.30081615,1.478059,0.2590451,0.3008163,1.478059,0.25904512
2010128,1,0.30562735,1.457912,0.24689075,0.30562738,1.457912,0.24689075
2010128,2,0.30348474,1.4905871,0.28308472,0.30348468,1.4905871,0.2830847
2010128,3,0.3189352,1.4547328,0.2620765,0.3189351,1.4547328,0.2620765
2010128,4,0.32710654,1.4756141,0.2325714,0.32710648,1.475614,0.2325714
2010128,5,0.33008027,1.428693,0.24848491,0.33008024,1.428693,0.24848492
2010128,6,0.33519232,1.443893,0.30033958,0.33519238,1.443893,0.30033958
2010128,7,0.33662194,1.3875934,0.30844682,0.3366221,1.3875934,0.30844682
2010128,8,0.32395095,1.3700166,0.3376611,0.32395104,1.3700167,0.3376611
2010128,9,0.31520826,1.3099449,0.34827802,0.31520835,1.3099449,0.348278
2010128,10,0.30872157,1.2413192,0.31032503,0.3087215,1.2413192,0.31032503
2010128,11,0.29336208,1.2199686,0.2686298,0.29336184,1.2199686,0.26862982
2010128,12,0.28536388,1.109577,0.16974911,0.2853639,1.109577,0.16974911
2010128,13,0.22180276,1.0227513,0.15281285,0.2218029,1.0227513,0.15281282
2010128,14,0.16758671,0.8332433,0.1615763,0.16758673,0.83324337,0.1615763
2010128,15,0.14488867,0.71107584,0.28186005,0.1448886,0.71107584,0.28186005
2050050,0,0.31406045,1.4837215,0.4654321,0.31406036,1.4837215,0.4654321
