Subject ID,Slice Index,BLUR_Z,MLC_Z,MSLC_Z,BLUR_minmax,MLC_minmax,MSLC_minmax
2070491,0,0.36094248,1.5634192,0.5597491,0.36094245,1.5634192,0.55974907
2070491,1,0.32052287,1.5482605,0.53328276,0.32052281,1.5482605,0.53328276
2070491,2,0.32661012,1.5485656,0.5483715,0.3266104,1.5485656,0.5483715
2070491,3,0.32148963,1.5021458,0.4958784,0.32148957,1.5021458,0.4958784
2070491,4,0.36774376,1.5875959,0.47018576,0.36774388,1.5875959,0.47018576
2070491,5,0.3934939,1.5219407,0.43970895,0.39349377,1.5219407,0.439709
2070491,6,0.32914135,1.4927394,0.46017644,0.32914138,1.4927396,0.46017644
2070491,7,0.3423539,1.4624683,0.4195786,0.34235406,1.4624683,0.4195786
2070491,8,0.39713663,1.4328868,0.40058425,0.3971366,1.4328868,0.40058422
2070491,9,0.37017998,1.396817,0.45558462,0.37018007,1.396817,0.45558465
2070491,10,0.381043,1.3641107,0.39663157,0.38104296,1.3641107,0.3966316
2070491,11,0.4104145,1.2887487,0.32862598,0.41041455,1.2887489,0.328626
2070491,12,0.41214433,1.1985185,0.1532768,0.4121443,1.1985185,0.1532768
2070491,13,0.40741214,1.0879819,0.038567588,0.40741196,1.0879819,0.038567588
2070491,14,0.33477584,0.95808136,0.028617233,0.33477587,0.95808136,0.028617231
2070491,15,0.25291693,0.7817571,0.031324178,0.25291696,0.7817571,0.031324174
2070679,0,0.38751578,1.6340762,0.6323142,0.3875157,1.6340762,0.6323142
2070679,1,0.3865921,1.6349909,0.6293997,0.3865923,1.6349909,0.6293997
2070679,2,0.400558,1.5950608,0.5829428,0.400558,1.5950608,0.5829427
2070679,3,0.40145126,1.6158662,0.6496334,0.40145126,1.6158663,0.6496334
2070679,4,0.4074179,1.6050167,0.6085446,0.4074177,1.6050168,0.6085446
2070679,5,0.4719658,1.5992336,0.5458485,0.47196594,1.5992336,0.5458485
2070679,6,0.39839378,1.5477686,0.4842216,0.39839363,1.5477686,0.48422158
2070679,7,0.38962832,1.5355229,0.4840393,0.3896283,1.5355229,0.48403937
